status,trial_id,model_id,family,game,target_mode,backend,protocol_hash,elapsed_seconds,error,hit_at_1,mae,mse,exact,all_positions_within_1,brier,log_loss
BLOCKED,pp-multiple-changepoint-categorical__numbers3__pymc__pymc-smc__s1,pp-multiple-changepoint-categorical,changepoint,numbers3,digit_categorical,pymc,,,,,,,,,,
BLOCKED,pp-negative-binomial-candidate-count__numbers3__pymc__pymc-nuts__s1,pp-negative-binomial-candidate-count,count,numbers3,window_count,pymc,,,,,,,,,,
BLOCKED,pp-neural-hmm__numbers3__pyro__pyro-svi-autonormal__s1,pp-neural-hmm,deep_probabilistic,numbers3,digit_categorical,pyro,,,,,,,,,,
BLOCKED,pp-ordinal-adjacent-category__numbers3__pymc__pymc-nuts__s1,pp-ordinal-adjacent-category,ordinal,numbers3,digit_ordinal,pymc,,,,,,,,,,
BLOCKED,pp-ordinal-continuation-ratio__numbers3__pymc__pymc-nuts__s1,pp-ordinal-continuation-ratio,ordinal,numbers3,digit_ordinal,pymc,,,,,,,,,,
BLOCKED,pp-ordinal-cumulative-logit__numbers3__pymc__pymc-nuts__s1,pp-ordinal-cumulative-logit,ordinal,numbers3,digit_ordinal,pymc,,,,,,,,,,
BLOCKED,pp-poisson-candidate-count__numbers3__pymc__pymc-nuts__s1,pp-poisson-candidate-count,count,numbers3,window_count,pymc,,,,,,,,,,
BLOCKED,pp-poisson-lognormal-count__numbers3__pymc__pymc-advi-fullrank__s1,pp-poisson-lognormal-count,count,numbers3,window_count,pymc,,,,,,,,,,
PASS,pp-posterior-constrained-decoder__numbers3__builtin__analytic__s1,pp-posterior-constrained-decoder,decision,numbers3,decision,builtin,0fff43d5ee99acb445e68345ff158b17d9830d8290524278234c163c18e4b784,0.00403290000394918,,0.3333333333333333,2.6666666666666665,10.0,0.0,0.0,0.8956337710439072,2.4422379516661756
PASS,pp-posterior-utility-hit1-mse__numbers3__builtin__analytic__s1,pp-posterior-utility-hit1-mse,decision,numbers3,decision,builtin,0fff43d5ee99acb445e68345ff158b17d9830d8290524278234c163c18e4b784,0.004016608996607829,,0.6666666666666666,2.3333333333333335,9.0,0.0,0.0,0.8956337710439072,2.4422379516661756
PASS,pp-posterior-utility-hit1__numbers3__builtin__analytic__s1,pp-posterior-utility-hit1,decision,numbers3,decision,builtin,0fff43d5ee99acb445e68345ff158b17d9830d8290524278234c163c18e4b784,0.06389376099832589,,0.6666666666666666,2.6666666666666665,12.666666666666666,0.0,0.0,0.8956337710439072,2.4422379516661756
BLOCKED,pp-psis-loo-stacking__numbers3__arviz__analytic__s1,pp-psis-loo-stacking,ensemble,numbers3,ensemble,arviz,,,,,,,,,,
PASS,pp-rolling-dirichlet-categorical__numbers3__builtin__analytic__s1,pp-rolling-dirichlet-categorical,conjugate,numbers3,digit_categorical,builtin,ba8ceed24e792421764f15d13a10637be0930df1b3e0a7f3cf55a138ec6b845e,0.06860886000504252,,0.0,3.0,11.0,0.0,0.0,0.8482346897827373,1.9973188602484118
BLOCKED,pp-seasonal-harmonic-categorical__numbers3__pymc__pymc-advi-fullrank__s1,pp-seasonal-harmonic-categorical,state_space,numbers3,digit_categorical,pymc,,,,,,,,,,
BLOCKED,pp-single-changepoint-categorical__numbers3__pymc__pymc-smc__s1,pp-single-changepoint-categorical,changepoint,numbers3,digit_categorical,pymc,,,,,,,,,,
PASS,pp-static-dirichlet-categorical__numbers3__builtin__analytic__s1,pp-static-dirichlet-categorical,conjugate,numbers3,digit_categorical,builtin,ba8ceed24e792421764f15d13a10637be0930df1b3e0a7f3cf55a138ec6b845e,0.07831258499936666,,0.3333333333333333,2.6666666666666665,10.0,0.0,0.0,0.8956337710439072,2.4422379516661756
BLOCKED,pp-sticky-hdp-hmm__numbers3__numpyro__numpyro-svi-lowrank__s1,pp-sticky-hdp-hmm,nonparametric,numbers3,digit_categorical,numpyro,,,,,,,,,,
BLOCKED,pp-switching-dynamic-regression__numbers3__numpyro__numpyro-svi-lowrank__s1,pp-switching-dynamic-regression,regime_switching,numbers3,digit_categorical,numpyro,,,,,,,,,,
BLOCKED,pp-switching-logistic-normal__numbers3__numpyro__numpyro-svi-lowrank__s1,pp-switching-logistic-normal,regime_switching,numbers3,digit_categorical,numpyro,,,,,,,,,,
PASS,pp-uniform-dirichlet__numbers3__builtin__analytic__s1,pp-uniform-dirichlet,conjugate,numbers3,digit_categorical,builtin,ba8ceed24e792421764f15d13a10637be0930df1b3e0a7f3cf55a138ec6b845e,0.07968808399891714,,0.6666666666666666,1.3333333333333333,3.3333333333333335,0.3333333333333333,0.0,0.8520732624204328,2.084964833419402
BLOCKED,pp-variational-rnn__numbers3__pyro__pyro-svi-autonormal__s1,pp-variational-rnn,deep_probabilistic,numbers3,digit_categorical,pyro,,,,,,,,,,
BLOCKED,pp-zero-inflated-negative-binomial-count__numbers3__pymc__pymc-advi-fullrank__s1,pp-zero-inflated-negative-binomial-count,count,numbers3,window_count,pymc,,,,,,,,,,
BLOCKED,pp-zero-inflated-poisson-count__numbers3__pymc__pymc-advi-fullrank__s1,pp-zero-inflated-poisson-count,count,numbers3,window_count,pymc,,,,,,,,,,
