feature,selection_count,mean_rank,mean_mutual_information,worst_mutual_information
lag_78,6,11.0,0.018221233571162454,0.011587445860708812
lag_87,6,11.166666666666666,0.016724610414541912,0.013912442817160642
min_10,6,12.666666666666666,0.017814943801359357,0.010331062978097716
lag_76,6,13.666666666666666,0.01461443156011096,0.012694585071310716
lag_2,6,16.0,0.014690881407887288,0.010083987883812373
freq_1_20,6,16.333333333333332,0.014523850620371833,0.00910262923237859
lag_33,6,16.5,0.012849822140489945,0.00871510875220638
lag_80,6,18.0,0.014735118350553597,0.007936594221500837
freq_4_20,6,19.0,0.012257042205558196,0.00977105180066129
lag_31,6,20.0,0.013010270212660805,0.008475126037739145
min_5,6,21.0,0.011980169797717396,0.007273171128564293
freq_9_100,6,21.5,0.01125912017739239,0.0080797422080785
lag_53,6,23.333333333333332,0.01121070495909926,0.007614717499995649
lag_58,5,5.4,0.020349179988830367,0.01865324161378501
lag_77,5,6.8,0.016945407858727713,0.012509477668595004
freq_7_200,5,7.6,0.020689426873650517,0.010543310002535389
lag_25,5,9.6,0.01895970603951893,0.01307763583712429
lag_15,5,10.6,0.016032344612929173,0.01365796304073097
mean_20,5,11.0,0.016093595014844995,0.010812701386119006
lag_60,5,11.6,0.016302562194248436,0.008590950268090758
lag_9,5,12.2,0.01455689304154797,0.010367618993607941
freq_6_200,5,13.0,0.016054762941192458,0.014606270931749599
lag_69,5,13.2,0.016582852820858918,0.012304258068266627
lag_88,5,15.0,0.013599734017070996,0.009026378239482824
lag_99,5,15.2,0.013986882171282123,0.012001780560299657
freq_3_50,5,15.4,0.016114910759509993,0.01096189518243218
median_100,5,15.6,0.013328952018715335,0.009448725309030515
lag_20,5,15.8,0.013951793339134877,0.008258384466804713
freq_7_100,5,17.0,0.015683463058976343,0.012078878925653846
lag_18,5,17.0,0.014179850610011346,0.01114524071998746
freq_4_10,5,17.2,0.013319583627149,0.009862021495298912
freq_7_20,5,17.6,0.013314682939688006,0.010479068270236258
lag_66,5,18.0,0.01410543857184221,0.012213980922036072
freq_1_50,5,18.8,0.01263075973255301,0.010196418603142021
freq_2_20,5,18.8,0.013132267334034876,0.008490245288428344
std_5,5,19.2,0.011557859059089548,0.009440123651616616
lag_71,5,19.4,0.01332730123909629,0.008805417405608917
min_20,5,20.4,0.012673406006918509,0.008751107025498861
lag_61,5,20.6,0.01194870956591565,0.009839939797114727
lag_91,5,21.8,0.011982751859700169,0.010289192356193855
freq_4_100,4,4.0,0.020272877481777973,0.012724387048049124
lag_52,4,7.25,0.020599591965173025,0.012034648240834667
freq_3_100,4,10.75,0.01655747127021956,0.013703769001729427
lag_68,4,14.25,0.014645305412093412,0.012665917828452056
freq_5_20,4,14.75,0.01523818680302702,0.008523158494073257
lag_56,4,16.0,0.01463417946291734,0.013157882665614018
lag_73,4,16.0,0.015771037043505798,0.009837862506235862
day,4,16.25,0.013594256676352057,0.011981590753961768
freq_7_5,4,17.5,0.015520061214967074,0.011089810344071527
lag_10,4,17.75,0.013508343192716765,0.010983041997166598
freq_4_5,4,19.75,0.01397645773340106,0.009032414831852797
lag_27,4,19.75,0.013824456775749283,0.0081215893002482
lag_47,4,20.75,0.012474810755223165,0.010130971610531336
lag_8,4,21.5,0.013116323997741985,0.010743158080049664
lag_82,4,21.5,0.013268444797467804,0.010121728599124857
lag_28,4,22.75,0.01254601196184002,0.010179097907205392
mean_200,4,22.75,0.010413595180293833,0.008298556592913009
lag_6,4,23.25,0.011567278171244588,0.010186069837232026
lag_95,4,24.0,0.011643080915189286,0.008480356280767154
max_100,3,9.0,0.01980151780691841,0.014477010604189822
lag_16,3,9.333333333333334,0.01563931493793384,0.014155444004759765
lag_40,3,9.666666666666666,0.01893134396684844,0.013507648868448463
max_10,3,10.333333333333334,0.016728604774170524,0.011062940113406583
freq_3_5,3,11.333333333333334,0.01390538882264473,0.013756903345504057
lag_67,3,12.333333333333334,0.016521369128837577,0.011654246438967508
lag_89,3,13.333333333333334,0.017144016026698388,0.014557261187617243
month,3,13.666666666666666,0.014361272663706792,0.012440507265250478
freq_2_50,3,15.0,0.01609086827230651,0.011406227641145517
lag_22,3,15.333333333333334,0.015453112322984927,0.012894949499288266
lag_38,3,16.0,0.014903327480657,0.011349044400235542
lag_84,3,16.333333333333332,0.011560139387590151,0.009432857789313243
freq_6_20,3,17.0,0.013756260016474453,0.01168193719482824
lag_54,3,17.666666666666668,0.012504437311537794,0.011372283717099307
freq_8_50,3,18.0,0.012813823662182866,0.010326236636058805
lag_24,3,18.666666666666668,0.012433872330266974,0.010303665804941353
lag_29,3,19.666666666666668,0.014120706278619721,0.012238310811135023
weekday,3,19.666666666666668,0.012886248971537562,0.011293708418080417
lag_86,3,20.666666666666668,0.010682213209229166,0.008953943025406641
lag_100,3,22.0,0.012074761535602866,0.009406013428512328
lag_4,3,22.333333333333332,0.010977378684905817,0.008991013791804114
freq_0_5,3,23.333333333333332,0.011316397211198481,0.007645753020111279
freq_9_50,3,23.666666666666668,0.009634965727394787,0.007747733868402218
freq_5_10,3,24.0,0.010144926107248006,0.009485544358229792
lag_17,3,24.666666666666668,0.011493758360110018,0.009340506298702422
max_20,2,15.0,0.015285012382438179,0.011068599909234589
lag_21,2,17.0,0.01643366047003325,0.010682944035833586
lag_49,2,18.0,0.014448464301166863,0.012260518109416196
lag_12,2,19.0,0.014751584349952163,0.010990868300202461
lag_57,2,19.0,0.013902266721147916,0.011917976254948393
lag_51,2,19.5,0.013660277858897674,0.013110540153861816
lag_97,2,19.5,0.012923190280560437,0.012493056585944018
median_20,2,19.5,0.011524036155284856,0.010762593224575845
min_50,2,19.5,0.012963659267548389,0.012126334998049604
freq_8_100,2,20.5,0.012280840095428625,0.011359817928574323
lag_44,2,20.5,0.013815166089291564,0.012370326922297448
mean_10,2,21.0,0.01077731976214924,0.01004890651936563
freq_3_200,2,24.5,0.0113726086824677,0.010907622473835143
lag_65,2,25.0,0.010546654737463967,0.007946957988192782
lag_81,2,25.5,0.009794529985966083,0.008005230219295889
median_10,2,25.5,0.011419352563243779,0.010878868034732925
lag_50,1,7.0,0.01800945908948437,0.01800945908948437
lag_1,1,11.0,0.01642632815508538,0.01642632815508538
lag_94,1,15.0,0.01160690738668313,0.01160690738668313
freq_1_5,1,16.0,0.014251463251581331,0.014251463251581331
lag_96,1,16.0,0.011508246059997784,0.011508246059997784
lag_46,1,17.0,0.011223853761554548,0.011223853761554548
max_50,1,18.0,0.012787854068837312,0.012787854068837312
freq_8_20,1,22.0,0.008680833208936534,0.008680833208936534
lag_34,1,22.0,0.013302491114298931,0.013302491114298931
lag_41,1,22.0,0.0122926980895528,0.0122926980895528
lag_37,1,24.0,0.011737541623203285,0.011737541623203285
lag_74,1,24.0,0.011296562967197943,0.011296562967197943
lag_72,1,25.0,0.011741855172567206,0.011741855172567206
freq_4_50,1,26.0,0.009899800417841664,0.009899800417841664
lag_19,1,26.0,0.0129870397774825,0.0129870397774825
lag_45,1,26.0,0.009242828645927847,0.009242828645927847
lag_48,1,26.0,0.009946404331324654,0.009946404331324654
freq_0_100,1,27.0,0.011579610380099137,0.011579610380099137
freq_2_5,1,27.0,0.01076706022841556,0.01076706022841556
min_100,1,27.0,0.01141161536033053,0.01141161536033053
lag_39,1,29.0,0.010424902439601258,0.010424902439601258
mean_5,1,29.0,0.011503189138255099,0.011503189138255099
max_5,1,30.0,0.01071169737818689,0.01071169737818689
