game,library,model_id,model_name,lane,requested_args_json,effective_args_json,args_match,property_status,fit_status,fit_seconds,fit_seconds_status,predict_status,mae,mse,rmse,hit_at_1,position_hit_at_1,all_positions_hit_at_1,best_baseline_id,baseline_mae,baseline_rmse,mae_improvement_vs_baseline,rmse_improvement_vs_baseline,hit_at_1_difference_vs_baseline,train_rows,test_rows,holdout_rows,seed,protocol_hash,data_snapshot_sha256,normalized_file_sha256,prediction_lock_sha256,overall_status,failure_class,failure_reason
bingo5,statsforecast,sf-seasonalwindowaverage,SeasonalWindowAverage,UNIVARIATE,"{""season_length"":4,""window_size"":2}","{""season_length"":4,""window_size"":2}",True,VERIFIED,VERIFIED,,NOT_CAPTURED_BY_UNIFIED_CAMPAIGN,VERIFIED,1.41,3.09,1.7578395831246945,0.55625,0.5562499999999999,0.02,baseline:mean,1.21625,1.428723206222955,-0.19374999999999987,-0.32911637690173956,-0.03125,"[332,352,372,392,412]",100,50,1,1eaa04f65df29009e052998928e8f3f56f710d3fd4d006c484f68e670ebba5b5,1e8cd2ae866286001a6c9976ecaa2a9f1a85226112bc5cbd3f7a80e45c1f2b27,7adc619d75b11b3c2ac875d02a90bbaa3ba5a31b96e09d9d8d9972f6c4380484,df3eebf7d3cf3e0bf74e01422c16221d78943d62e7826efd5b6ca8d60263d16b,SUCCEEDED,,nan
bingo5,statsforecast,sf-adida,ADIDA,UNIVARIATE,{},{},True,VERIFIED,VERIFIED,,NOT_CAPTURED_BY_UNIFIED_CAMPAIGN,VERIFIED,1.23125,2.13625,1.4615915982243466,0.585,0.585,0.02,baseline:mean,1.21625,1.428723206222955,-0.014999999999999902,-0.03286839200139169,-0.0025000000000000577,"[332,352,372,392,412]",100,50,1,1eaa04f65df29009e052998928e8f3f56f710d3fd4d006c484f68e670ebba5b5,1e8cd2ae866286001a6c9976ecaa2a9f1a85226112bc5cbd3f7a80e45c1f2b27,7adc619d75b11b3c2ac875d02a90bbaa3ba5a31b96e09d9d8d9972f6c4380484,f173066da10b8a91be803dee7dd36ba57bc598bcb2940bde83b370c80d260dc3,SUCCEEDED,,nan
bingo5,statsforecast,sf-crostonclassic,CrostonClassic,UNIVARIATE,{},{},True,VERIFIED,VERIFIED,,NOT_CAPTURED_BY_UNIFIED_CAMPAIGN,VERIFIED,1.23125,2.13625,1.4615915982243466,0.585,0.585,0.02,baseline:mean,1.21625,1.428723206222955,-0.014999999999999902,-0.03286839200139169,-0.0025000000000000577,"[332,352,372,392,412]",100,50,1,1eaa04f65df29009e052998928e8f3f56f710d3fd4d006c484f68e670ebba5b5,1e8cd2ae866286001a6c9976ecaa2a9f1a85226112bc5cbd3f7a80e45c1f2b27,7adc619d75b11b3c2ac875d02a90bbaa3ba5a31b96e09d9d8d9972f6c4380484,9cd53ee961de2807c192c6e83fccd7d88dd14485890a13f4af31aa6b0d6f3177,SUCCEEDED,,nan
bingo5,statsforecast,sf-crostonoptimized,CrostonOptimized,UNIVARIATE,{},{},True,VERIFIED,VERIFIED,,NOT_CAPTURED_BY_UNIFIED_CAMPAIGN,VERIFIED,1.23125,2.13625,1.4615915982243466,0.585,0.585,0.02,baseline:mean,1.21625,1.428723206222955,-0.014999999999999902,-0.03286839200139169,-0.0025000000000000577,"[332,352,372,392,412]",100,50,1,1eaa04f65df29009e052998928e8f3f56f710d3fd4d006c484f68e670ebba5b5,1e8cd2ae866286001a6c9976ecaa2a9f1a85226112bc5cbd3f7a80e45c1f2b27,7adc619d75b11b3c2ac875d02a90bbaa3ba5a31b96e09d9d8d9972f6c4380484,08b306d9fdb488246b3568370c94be5662f5b9fce25e84786eae95fa15f2699f,SUCCEEDED,,nan
bingo5,statsforecast,sf-crostonsba,CrostonSBA,UNIVARIATE,{},{},True,VERIFIED,VERIFIED,,NOT_CAPTURED_BY_UNIFIED_CAMPAIGN,VERIFIED,1.52375,3.62875,1.904927820154874,0.52625,0.52625,0.0,baseline:mean,1.21625,1.428723206222955,-0.3074999999999999,-0.47620461393191915,-0.06125000000000003,"[332,352,372,392,412]",100,50,1,1eaa04f65df29009e052998928e8f3f56f710d3fd4d006c484f68e670ebba5b5,1e8cd2ae866286001a6c9976ecaa2a9f1a85226112bc5cbd3f7a80e45c1f2b27,7adc619d75b11b3c2ac875d02a90bbaa3ba5a31b96e09d9d8d9972f6c4380484,a16fa57488f567783a4dd5e764a0ced295719e503397b5f630f9b36cca634496,SUCCEEDED,,nan
bingo5,statsforecast,sf-imapa,IMAPA,UNIVARIATE,{},{},True,VERIFIED,VERIFIED,,NOT_CAPTURED_BY_UNIFIED_CAMPAIGN,VERIFIED,1.23125,2.13625,1.4615915982243466,0.585,0.585,0.02,baseline:mean,1.21625,1.428723206222955,-0.014999999999999902,-0.03286839200139169,-0.0025000000000000577,"[332,352,372,392,412]",100,50,1,1eaa04f65df29009e052998928e8f3f56f710d3fd4d006c484f68e670ebba5b5,1e8cd2ae866286001a6c9976ecaa2a9f1a85226112bc5cbd3f7a80e45c1f2b27,7adc619d75b11b3c2ac875d02a90bbaa3ba5a31b96e09d9d8d9972f6c4380484,4398949e3484e1870e62a42152578bf831f8c92ea96ee7f5d9f4500c2ca00fed,SUCCEEDED,,nan
bingo5,statsforecast,sf-tsb,TSB,UNIVARIATE,"{""alpha_d"":0.3,""alpha_p"":0.3}","{""alpha_d"":0.3,""alpha_p"":0.3}",True,VERIFIED,VERIFIED,,NOT_CAPTURED_BY_UNIFIED_CAMPAIGN,VERIFIED,1.26625,2.36625,1.538262006291516,0.6225,0.6224999999999999,0.02,baseline:mean,1.21625,1.428723206222955,-0.050000000000000044,-0.10953880006856109,0.03500000000000003,"[332,352,372,392,412]",100,50,1,1eaa04f65df29009e052998928e8f3f56f710d3fd4d006c484f68e670ebba5b5,1e8cd2ae866286001a6c9976ecaa2a9f1a85226112bc5cbd3f7a80e45c1f2b27,7adc619d75b11b3c2ac875d02a90bbaa3ba5a31b96e09d9d8d9972f6c4380484,e2934dcba205b8606608a8a3898b1d39423f1c148f59426f1b8fe1421b454b04,SUCCEEDED,,nan
bingo5,statsforecast,sf-mstl,MSTL,UNIVARIATE,"{""season_length"":[4]}","{""season_length"":[4]}",True,VERIFIED,VERIFIED,,NOT_CAPTURED_BY_UNIFIED_CAMPAIGN,VERIFIED,1.23625,2.22625,1.4920623311376773,0.6125,0.6124999999999999,0.06,baseline:mean,1.21625,1.428723206222955,-0.020000000000000018,-0.06333912491472238,0.025000000000000022,"[332,352,372,392,412]",100,50,1,1eaa04f65df29009e052998928e8f3f56f710d3fd4d006c484f68e670ebba5b5,1e8cd2ae866286001a6c9976ecaa2a9f1a85226112bc5cbd3f7a80e45c1f2b27,7adc619d75b11b3c2ac875d02a90bbaa3ba5a31b96e09d9d8d9972f6c4380484,e45d6fc585252d744d512ccbe6929e29f30237babd7c62238692b8ca56311801,SUCCEEDED,,nan
bingo5,statsforecast,sf-mfles,MFLES,UNIVARIATE,{},{},True,VERIFIED,VERIFIED,,NOT_CAPTURED_BY_UNIFIED_CAMPAIGN,VERIFIED,1.405,3.1125,1.764227876437735,0.57875,0.5787500000000001,0.02,baseline:mean,1.21625,1.428723206222955,-0.18874999999999997,-0.33550467021478014,-0.008750000000000036,"[332,352,372,392,412]",100,50,1,1eaa04f65df29009e052998928e8f3f56f710d3fd4d006c484f68e670ebba5b5,1e8cd2ae866286001a6c9976ecaa2a9f1a85226112bc5cbd3f7a80e45c1f2b27,7adc619d75b11b3c2ac875d02a90bbaa3ba5a31b96e09d9d8d9972f6c4380484,842c631876acf2f60558fdc494ec49d5be8ebfa1ac2e07a2f14e37fd1247236b,SUCCEEDED,,nan
bingo5,statsforecast,sf-tbats,TBATS,UNIVARIATE,"{""season_length"":[4]}","{""season_length"":[4]}",True,VERIFIED,VERIFIED,,NOT_CAPTURED_BY_UNIFIED_CAMPAIGN,VERIFIED,1.245,2.1975,1.4823967080373592,0.58,0.58,0.03,baseline:mean,1.21625,1.428723206222955,-0.028750000000000053,-0.053673501814404334,-0.007500000000000062,"[332,352,372,392,412]",100,50,1,1eaa04f65df29009e052998928e8f3f56f710d3fd4d006c484f68e670ebba5b5,1e8cd2ae866286001a6c9976ecaa2a9f1a85226112bc5cbd3f7a80e45c1f2b27,7adc619d75b11b3c2ac875d02a90bbaa3ba5a31b96e09d9d8d9972f6c4380484,5e17b0ee81feb443c0e36e68cb38a8b5abecc8fed0486d11c36b2d6a56cdc9ec,SUCCEEDED,,nan
