status,trial_id,model_id,family,game,target_mode,backend,protocol_hash,elapsed_seconds,error,hit_at_1,mae,mse,exact,set_overlap,jaccard,brier,log_loss
BLOCKED,pp-multinomial-logit-horseshoe__loto7__pymc__pymc-nuts__s1,pp-multinomial-logit-horseshoe,bayesian_regression,loto7,select_position_categorical,pymc,,,,,,,,,,,
BLOCKED,pp-multinomial-logit-laplace__loto7__pymc__pymc-nuts__s1,pp-multinomial-logit-laplace,bayesian_regression,loto7,select_position_categorical,pymc,,,,,,,,,,,
BLOCKED,pp-multinomial-logit-normal__loto7__pymc__pymc-nuts__s1,pp-multinomial-logit-normal,bayesian_regression,loto7,select_position_categorical,pymc,,,,,,,,,,,
BLOCKED,pp-multinomial-logit-regularized-horseshoe__loto7__pymc__pymc-nuts__s1,pp-multinomial-logit-regularized-horseshoe,bayesian_regression,loto7,select_position_categorical,pymc,,,,,,,,,,,
BLOCKED,pp-multinomial-probit__loto7__pymc__pymc-advi-fullrank__s1,pp-multinomial-probit,bayesian_regression,loto7,select_position_categorical,pymc,,,,,,,,,,,
BLOCKED,pp-multiple-changepoint-categorical__loto7__pymc__pymc-smc__s1,pp-multiple-changepoint-categorical,changepoint,loto7,select_position_categorical,pymc,,,,,,,,,,,
BLOCKED,pp-negative-binomial-candidate-count__loto7__pymc__pymc-nuts__s1,pp-negative-binomial-candidate-count,count,loto7,window_count,pymc,,,,,,,,,,,
BLOCKED,pp-neural-hmm__loto7__pyro__pyro-svi-autonormal__s1,pp-neural-hmm,deep_probabilistic,loto7,select_position_categorical,pyro,,,,,,,,,,,
BLOCKED,pp-ordinal-adjacent-category__loto7__pymc__pymc-nuts__s1,pp-ordinal-adjacent-category,ordinal,loto7,select_position_ordinal,pymc,,,,,,,,,,,
BLOCKED,pp-ordinal-continuation-ratio__loto7__pymc__pymc-nuts__s1,pp-ordinal-continuation-ratio,ordinal,loto7,select_position_ordinal,pymc,,,,,,,,,,,
BLOCKED,pp-ordinal-cumulative-logit__loto7__pymc__pymc-nuts__s1,pp-ordinal-cumulative-logit,ordinal,loto7,select_position_ordinal,pymc,,,,,,,,,,,
BLOCKED,pp-poisson-candidate-count__loto7__pymc__pymc-nuts__s1,pp-poisson-candidate-count,count,loto7,window_count,pymc,,,,,,,,,,,
BLOCKED,pp-poisson-lognormal-count__loto7__pymc__pymc-advi-fullrank__s1,pp-poisson-lognormal-count,count,loto7,window_count,pymc,,,,,,,,,,,
PASS,pp-posterior-constrained-decoder__loto7__builtin__analytic__s1,pp-posterior-constrained-decoder,decision,loto7,decision,builtin,2c2fab96a382cec5dbeeae2ec384629ab0381b09598950fa23265cdf159e8d62,0.20120191299793078,,0.14285714285714285,4.714285714285714,32.714285714285715,0.0,1.0,0.07692307692307693,0.9422187292636719,3.0865711962379097
PASS,pp-posterior-utility-hit1-mse__loto7__builtin__analytic__s1,pp-posterior-utility-hit1-mse,decision,loto7,decision,builtin,2c2fab96a382cec5dbeeae2ec384629ab0381b09598950fa23265cdf159e8d62,0.023157194002124015,,0.14285714285714285,4.714285714285714,32.714285714285715,0.0,1.0,0.07692307692307693,0.9422187292636719,3.0865711962379097
PASS,pp-posterior-utility-hit1__loto7__builtin__analytic__s1,pp-posterior-utility-hit1,decision,loto7,decision,builtin,2c2fab96a382cec5dbeeae2ec384629ab0381b09598950fa23265cdf159e8d62,0.0848712470033206,,0.14285714285714285,4.714285714285714,32.714285714285715,0.0,1.0,0.07692307692307693,0.9422187292636719,3.0865711962379097
BLOCKED,pp-psis-loo-stacking__loto7__arviz__analytic__s1,pp-psis-loo-stacking,ensemble,loto7,ensemble,arviz,,,,,,,,,,,
