number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_depth,params_lag_transforms_idx,params_lags_idx,params_learning_rate,params_min_data_in_leaf,params_n_estimators,params_subsample,params_target_transforms_idx,user_attrs_config,state
10,2.6616838766283637,2026-08-18 11:28:56.780986,2026-08-18 11:28:58.374103,0 days 00:00:01.593117,0.4898465352454333,4,0,1,0.0502968005863366,65.87618986936833,985,0.9888905636062734,2,"{'model_params': {'silent': True, 'n_estimators': 985, 'depth': 4, 'learning_rate': 0.0502968005863366, 'subsample': 0.9888905636062734, 'colsample_bylevel': 0.4898465352454333, 'min_data_in_leaf': 65.87618986936833}, 'mlf_init_params': {'lags': [1], 'target_transforms': [<mlforecast.target_transforms.Differences object at 0x0000021102EEDA70>, <mlforecast.target_transforms.LocalStandardScaler object at 0x0000021102F02930>], 'lag_transforms': None, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",COMPLETE
11,2.662165416636701,2026-08-18 11:28:58.374416,2026-08-18 11:28:59.956379,0 days 00:00:01.581963,0.5049169273133794,4,0,1,0.0491645478556502,62.58442047090345,987,0.9766981762171831,2,"{'model_params': {'silent': True, 'n_estimators': 987, 'depth': 4, 'learning_rate': 0.0491645478556502, 'subsample': 0.9766981762171831, 'colsample_bylevel': 0.5049169273133794, 'min_data_in_leaf': 62.58442047090345}, 'mlf_init_params': {'lags': [1], 'target_transforms': [<mlforecast.target_transforms.Differences object at 0x0000021102ECF850>, <mlforecast.target_transforms.LocalStandardScaler object at 0x0000021102F03B30>], 'lag_transforms': None, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",COMPLETE
12,2.6631015383385885,2026-08-18 11:28:59.956657,2026-08-18 11:29:01.537846,0 days 00:00:01.581189,0.5297744896222965,3,0,1,0.05455821031235465,72.36000461093374,995,0.9918775207946576,2,"{'model_params': {'silent': True, 'n_estimators': 995, 'depth': 3, 'learning_rate': 0.05455821031235465, 'subsample': 0.9918775207946576, 'colsample_bylevel': 0.5297744896222965, 'min_data_in_leaf': 72.36000461093374}, 'mlf_init_params': {'lags': [1], 'target_transforms': [<mlforecast.target_transforms.Differences object at 0x00000211030A0210>, <mlforecast.target_transforms.LocalStandardScaler object at 0x0000021102F027B0>], 'lag_transforms': None, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",COMPLETE
13,2.661626264333871,2026-08-18 11:29:01.538095,2026-08-18 11:29:03.199623,0 days 00:00:01.661528,0.4812145191396958,3,0,1,0.03905572210066989,68.00669685994933,994,0.9811646082043611,2,"{'model_params': {'silent': True, 'n_estimators': 994, 'depth': 3, 'learning_rate': 0.03905572210066989, 'subsample': 0.9811646082043611, 'colsample_bylevel': 0.4812145191396958, 'min_data_in_leaf': 68.00669685994933}, 'mlf_init_params': {'lags': [1], 'target_transforms': [<mlforecast.target_transforms.Differences object at 0x00000211030A0D70>, <mlforecast.target_transforms.LocalStandardScaler object at 0x0000021102F02210>], 'lag_transforms': None, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",COMPLETE
14,2.659176845649281,2026-08-18 11:29:03.199978,2026-08-18 11:29:04.878490,0 days 00:00:01.678512,0.3647267818084223,3,0,1,0.022109361986862856,95.95708821814695,821,0.8535280164377872,2,"{'model_params': {'silent': True, 'n_estimators': 821, 'depth': 3, 'learning_rate': 0.022109361986862856, 'subsample': 0.8535280164377872, 'colsample_bylevel': 0.3647267818084223, 'min_data_in_leaf': 95.95708821814695}, 'mlf_init_params': {'lags': [1], 'target_transforms': [<mlforecast.target_transforms.Differences object at 0x00000211030A0EC0>, <mlforecast.target_transforms.LocalStandardScaler object at 0x0000021102F03650>], 'lag_transforms': None, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",COMPLETE
15,3.2290357700052255,2026-08-18 11:29:04.878924,2026-08-18 11:29:06.304741,0 days 00:00:01.425817,0.36360998756582386,2,0,1,0.019715654391939844,96.14713621678438,823,0.8014390286668615,2,"{'model_params': {'silent': True, 'n_estimators': 823, 'depth': 2, 'learning_rate': 0.019715654391939844, 'subsample': 0.8014390286668615, 'colsample_bylevel': 0.36360998756582386, 'min_data_in_leaf': 96.14713621678438}, 'mlf_init_params': {'lags': [1], 'target_transforms': [<mlforecast.target_transforms.Differences object at 0x00000211030A0050>, <mlforecast.target_transforms.LocalStandardScaler object at 0x0000021102F029F0>], 'lag_transforms': None, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",PRUNED
16,3.2919754399099643,2026-08-18 11:29:06.304967,2026-08-18 11:29:07.743876,0 days 00:00:01.438909,0.3728127799359714,7,0,1,0.0028019340861870105,98.34216872242027,830,0.8570724213747387,3,"{'model_params': {'silent': True, 'n_estimators': 830, 'depth': 7, 'learning_rate': 0.0028019340861870105, 'subsample': 0.8570724213747387, 'colsample_bylevel': 0.3728127799359714, 'min_data_in_leaf': 98.34216872242027}, 'mlf_init_params': {'lags': [1], 'target_transforms': [<mlforecast.target_transforms.GlobalSklearnTransformer object at 0x0000021103080350>, <mlforecast.target_transforms.LocalStandardScaler object at 0x0000021102F01E50>], 'lag_transforms': None, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",PRUNED
17,2.660662196235402,2026-08-18 11:29:07.744119,2026-08-18 11:29:09.350396,0 days 00:00:01.606277,0.6065820761749151,3,0,1,0.023100547303063525,42.048782471703504,840,0.6828397093972269,2,"{'model_params': {'silent': True, 'n_estimators': 840, 'depth': 3, 'learning_rate': 0.023100547303063525, 'subsample': 0.6828397093972269, 'colsample_bylevel': 0.6065820761749151, 'min_data_in_leaf': 42.048782471703504}, 'mlf_init_params': {'lags': [1], 'target_transforms': [<mlforecast.target_transforms.Differences object at 0x00000211030A18D0>, <mlforecast.target_transforms.LocalStandardScaler object at 0x0000021102F03B90>], 'lag_transforms': None, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",COMPLETE
18,2.244067552532982,2026-08-18 11:29:09.350706,2026-08-18 11:29:11.889609,0 days 00:00:02.538903,0.6394071688190159,6,1,1,0.02103438287663627,40.67638385391815,822,0.6598220296727255,2,"{'model_params': {'silent': True, 'n_estimators': 822, 'depth': 6, 'learning_rate': 0.02103438287663627, 'subsample': 0.6598220296727255, 'colsample_bylevel': 0.6394071688190159, 'min_data_in_leaf': 40.67638385391815}, 'mlf_init_params': {'lags': [1], 'target_transforms': [<mlforecast.target_transforms.Differences object at 0x00000211030A2510>, <mlforecast.target_transforms.LocalStandardScaler object at 0x0000021103061190>], 'lag_transforms': {1: [ExponentiallyWeightedMean(alpha=0.9)]}, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",PRUNED
19,2.661889583058046,2026-08-18 11:29:11.889839,2026-08-18 11:29:13.003062,0 days 00:00:01.113223,0.6198513861771149,2,0,1,0.0872696911367916,40.52563017725387,699,0.10640708264186433,2,"{'model_params': {'silent': True, 'n_estimators': 699, 'depth': 2, 'learning_rate': 0.0872696911367916, 'subsample': 0.10640708264186433, 'colsample_bylevel': 0.6198513861771149, 'min_data_in_leaf': 40.52563017725387}, 'mlf_init_params': {'lags': [1], 'target_transforms': [<mlforecast.target_transforms.Differences object at 0x00000211030A26D0>, <mlforecast.target_transforms.LocalStandardScaler object at 0x00000211030610D0>], 'lag_transforms': None, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",COMPLETE
